cid,inference,postprocess_preds,prepare_input,process_case,read_brain_mask,read_image,save_time_vessel_map,totalsegmentator,brain_segmentation,io,generator,postprocessing,case_total
ukb_0408,116.1128,0.2252,1.8003,71.8474,0.1196,1.2552,0.1297,34.7346,34.7346,1.3748,117.9131,72.0726,226.0951
ukb_0049,111.332,0.199,1.5939,75.8701,0.1145,1.1053,0.1181,34.0962,34.0962,1.2198,112.9259,76.0691,224.311
fast_0249,151.0565,0.1112,0.8935,37.8858,0.0759,0.6601,0.0749,33.3922,33.3922,0.736,151.95,37.997,224.0752
fast_0044,151.4687,0.1209,0.9335,36.8324,0.0929,0.705,0.0739,33.5447,33.5447,0.7978,152.4022,36.9533,223.6981
fast_0124,152.1202,0.1191,0.915,35.428,0.0865,0.6581,0.0767,34.3645,34.3645,0.7446,153.0352,35.5471,223.6914
ukb_0027,106.7461,0.2057,1.6199,79.168,0.1321,1.2213,0.1277,34.2225,34.2225,1.3534,108.3659,79.3737,223.3156
ukb_0435,116.0684,0.2085,1.7173,69.2264,0.1209,1.3297,0.1279,34.6032,34.6032,1.4506,117.7857,69.4349,223.2744
fast_0264,148.4819,0.1177,0.9953,39.0961,0.0873,0.8147,0.0705,33.3889,33.3889,0.902,149.4772,39.2138,222.9819
ukb_0312,117.5259,0.2064,1.6197,67.4544,0.1241,1.2882,0.1309,34.7321,34.7321,1.4123,119.1456,67.6609,222.9508
fast_0320,149.4038,0.1223,1.0789,36.1188,0.0875,0.8735,0.0693,34.2562,34.2562,0.9611,150.4827,36.2411,221.9411
ukb_0325,103.794,0.1988,1.6536,79.9477,0.1289,1.1814,0.1266,34.0867,34.0867,1.3103,105.4476,80.1465,220.991
ukb_0265,110.6206,0.1906,1.5031,72.4468,0.1093,1.1359,0.1164,34.7288,34.7288,1.2452,112.1236,72.6375,220.7351
ukb_0147,112.8369,0.1931,1.5945,70.1726,0.1161,1.1635,0.1192,34.383,34.383,1.2796,114.4314,70.3657,220.4596
ukb_0132,107.8352,0.2016,1.5286,75.3895,0.1282,1.1969,0.1221,34.1567,34.1567,1.3251,109.3638,75.5911,220.4367
ukb_0138,110.0567,0.205,1.5898,72.1068,0.1241,1.2615,0.1283,34.322,34.322,1.3856,111.6465,72.3118,219.6659
ukb_0096,107.3708,0.2002,1.546,73.693,0.1197,1.1428,0.1309,34.9447,34.9447,1.2624,108.9168,73.8932,219.0172
fast_0339,148.2266,0.1166,1.0552,34.9655,0.0899,0.81,0.0784,33.6295,33.6295,0.8999,149.2818,35.0821,218.8933
ukb_0221,116.0133,0.203,1.5515,64.6326,0.1179,1.1461,0.1218,34.9014,34.9014,1.2639,117.5648,64.8356,218.5658
ukb_0228,112.1052,0.1978,1.576,68.7315,0.1342,1.211,0.1191,34.4361,34.4361,1.3452,113.6812,68.9293,218.3918
fast_0101,152.3669,0.0926,0.7645,30.2572,0.0877,0.597,0.067,34.0198,34.0198,0.6847,153.1313,30.3498,218.1857
ukb_0072,101.0966,0.1956,1.6363,80.1071,0.1254,1.2,0.122,33.8014,33.8014,1.3254,102.7329,80.3027,218.1623
fast_0297,144.5657,0.1172,0.9305,38.3261,0.0903,0.7031,0.0872,33.1518,33.1518,0.7934,145.4961,38.4433,217.8847
fast_0221,148.4373,0.1116,0.8542,33.8057,0.0868,0.7574,0.0754,33.5767,33.5767,0.8442,149.2915,33.9172,217.6296
fast_0271,147.6306,0.1163,0.9348,33.3178,0.0843,0.6728,0.0825,33.4863,33.4863,0.7572,148.5655,33.4341,216.2431
