cid,inference,postprocess_preds,prepare_input,process_case,read_brain_mask,read_image,save_time_vessel_map,totalsegmentator,brain_segmentation,io,generator,postprocessing,case_total
fast_0029,77.7455,0.1207,0.9596,36.0625,0.1029,0.7713,0.0842,32.4957,32.4957,0.8742,78.7051,36.1833,148.2583
fast_0336,67.5584,0.0945,0.7524,45.8644,0.0923,0.6441,0.0724,31.9749,31.9749,0.7363,68.3107,45.959,146.9809
fast_0220,85.7934,0.0917,0.7466,25.6252,0.0748,0.5242,0.0623,32.2443,32.2443,0.5991,86.5401,25.7169,145.1004
fast_0147,74.4688,0.0934,0.929,35.4627,0.085,0.7838,0.0745,32.2012,32.2012,0.8687,75.3977,35.5561,144.0238
fast_0143,70.5569,0.0973,0.9328,39.5936,0.097,0.7752,0.0753,31.7833,31.7833,0.8722,71.4897,39.6909,143.8361
fast_0077,74.4304,0.0921,0.8881,32.4585,0.1016,0.7466,0.0745,32.9054,32.9054,0.8482,75.3185,32.5505,141.6226
fast_0111,66.9235,0.0982,0.8453,37.437,0.1028,0.658,0.0695,32.4271,32.4271,0.7608,67.7688,37.5352,138.4919
fast_0239,69.2162,0.0975,0.7801,35.6422,0.0905,0.667,0.0752,31.8528,31.8528,0.7575,69.9963,35.7397,138.3463
fast_0227,65.6386,0.0961,0.8101,34.0463,0.1405,0.8802,0.0717,31.784,31.784,1.0208,66.4487,34.1425,133.3958
fast_0136,66.1691,0.097,0.8479,31.02,0.0819,0.7611,0.0703,32.3557,32.3557,0.843,67.017,31.117,131.3326
fast_0140,61.7652,0.1009,0.8479,35.68,0.093,0.7671,0.075,31.7408,31.7408,0.8601,62.6131,35.7808,130.9949
fast_0003,62.8339,0.0905,0.7893,33.4495,0.1023,0.7572,0.0846,31.8479,31.8479,0.8595,63.6232,33.54,129.8706
fast_0160,62.0103,0.105,0.8175,34.1404,0.0896,0.6462,0.2547,31.577,31.577,0.7358,62.8279,34.2453,129.386
fast_0011,62.8993,0.1021,0.7766,33.2172,0.0842,0.7084,0.077,31.5167,31.5167,0.7926,63.676,33.3194,129.3046
fast_0231,58.4805,0.1071,0.8266,35.4358,0.091,0.7085,0.071,30.7443,30.7443,0.7995,59.3071,35.5428,126.3937
fast_0179,61.6911,0.1027,0.802,30.7404,0.0877,0.7385,0.1068,31.4373,31.4373,0.8262,62.4931,30.8431,125.5997
fast_0312,65.5049,0.0936,0.8768,26.3153,0.0859,0.706,0.0643,31.9205,31.9205,0.7919,66.3818,26.4089,125.503
fast_0328,60.4348,0.0904,0.7543,30.9805,0.0893,0.6745,0.0654,31.2277,31.2277,0.7638,61.1891,31.0708,124.2514
fast_0216,56.4084,0.0962,0.789,32.3947,0.0805,0.6305,0.0682,30.8968,30.8968,0.711,57.1974,32.4909,121.2961
fast_0021,60.4128,0.0879,0.7075,27.7137,0.0914,0.6435,0.0694,31.2602,31.2602,0.7349,61.1203,27.8016,120.917
